geometry,temp_C,coeff_Vmp_Voc,gmpp_V,gmpp_P_W,n_peaks,power_lost_frac,region_error,region_error_costly
whole_substring,25.0,0.877,33.391,167.742,2,0.0691,False,True
whole_substring,45.0,0.5749,18.706,49.367,3,0.0452,False,True
whole_substring,45.0,0.5364,15.797,58.87,2,0.0003,False,False
sub_substring,60.0,0.453,2.826,13.002,2,0.3754,False,True
whole_substring,25.0,0.5871,25.266,72.58,3,0.0465,True,True
whole_substring,45.0,0.8273,26.838,95.354,1,0.0105,False,True
uniform,25.0,0.8343,26.924,97.126,1,0.0125,False,True
whole_substring,60.0,0.5328,16.942,107.328,2,0.0,False,False
whole_substring,25.0,0.8392,29.931,95.061,1,0.0198,False,True
whole_substring,60.0,0.8676,27.077,81.735,3,0.0552,False,True
sub_substring,45.0,0.9153,38.961,119.347,3,0.1181,False,True
sub_substring,45.0,0.2493,8.658,71.891,3,0.0447,False,True
whole_substring,45.0,0.5377,20.442,128.468,3,0.0008,False,False
whole_substring,25.0,0.8826,31.657,71.527,3,0.0729,False,True
uniform,45.0,0.7934,27.346,230.461,1,0.0005,False,False
whole_substring,25.0,0.8893,37.17,167.7,3,0.0654,False,True
uniform,60.0,0.8172,25.553,68.775,1,0.0031,False,False
sub_substring,45.0,0.5822,28.189,40.204,3,0.0471,True,True
uniform,60.0,0.786,29.293,193.279,1,0.0023,False,False
uniform,60.0,0.7964,30.818,191.875,1,0.0001,False,False
sub_substring,25.0,0.2457,7.259,42.467,3,0.0866,False,True
sub_substring,25.0,0.5712,26.038,143.855,3,0.042,False,True
whole_substring,60.0,0.8193,31.287,136.159,2,0.0067,False,False
sub_substring,25.0,0.2558,10.826,79.897,3,0.0169,False,True
whole_substring,25.0,0.8703,31.685,97.675,3,0.0612,False,True
whole_substring,25.0,0.8929,40.89,175.261,3,0.0304,True,True
sub_substring,45.0,0.2507,12.146,58.266,3,0.0365,False,True
sub_substring,45.0,0.8864,36.134,102.196,3,0.068,False,True
sub_substring,25.0,0.2559,11.035,87.577,3,0.0187,False,True
sub_substring,25.0,0.5481,21.311,135.397,2,0.0077,False,False
whole_substring,45.0,0.5387,18.701,130.039,2,0.0009,False,False
sub_substring,25.0,0.5789,24.478,56.064,3,0.0516,False,True
whole_substring,45.0,0.5174,20.372,157.804,2,0.0075,False,False
sub_substring,60.0,0.8702,25.963,56.177,2,0.0055,True,False
whole_substring,25.0,0.8843,39.859,163.598,2,0.0681,True,True
whole_substring,45.0,0.2536,9.981,45.206,3,0.0226,False,True
whole_substring,60.0,0.8562,22.769,72.949,2,0.0376,False,True
whole_substring,60.0,0.8587,24.109,82.322,3,0.043,False,True
whole_substring,60.0,0.8608,35.643,169.728,3,0.0474,False,True
whole_substring,60.0,0.829,30.452,107.756,1,0.0125,False,True
uniform,60.0,0.8245,24.228,30.528,1,0.0059,False,False
sub_substring,25.0,0.2441,8.064,68.705,3,0.0878,False,True
whole_substring,45.0,0.8796,29.387,72.118,3,0.0133,True,True
whole_substring,60.0,0.5767,22.428,91.642,3,0.0473,False,True
uniform,45.0,0.8242,34.796,166.189,1,0.0067,False,False
whole_substring,45.0,0.8615,37.485,176.23,2,0.0514,False,True
sub_substring,25.0,0.896,39.561,108.715,2,0.0091,True,False
uniform,25.0,0.8419,31.266,99.459,1,0.019,False,True
whole_substring,60.0,0.845,32.998,158.884,2,0.0302,False,True
uniform,45.0,0.8098,32.875,137.003,1,0.0011,False,False
sub_substring,45.0,0.5622,16.25,39.444,3,0.025,False,True
whole_substring,45.0,0.5354,21.21,115.89,2,0.0001,False,False
sub_substring,60.0,0.5678,18.021,43.299,3,0.0331,False,True
whole_substring,25.0,0.846,38.025,203.785,2,0.0345,False,True
sub_substring,45.0,0.8619,36.739,161.543,2,0.0585,False,True
whole_substring,25.0,0.544,21.52,153.756,2,0.0045,False,False
whole_substring,45.0,0.8586,26.498,39.042,2,0.0398,False,True
whole_substring,45.0,0.5468,21.903,129.967,2,0.0054,False,False
uniform,45.0,0.7961,32.354,222.222,1,0.0002,False,False
uniform,60.0,0.8223,30.195,63.472,1,0.0052,False,False
whole_substring,25.0,0.853,37.083,155.928,2,0.0396,False,True
sub_substring,60.0,0.5322,20.408,124.239,3,0.0,False,False
sub_substring,60.0,0.5485,20.552,100.961,3,0.0075,False,False
sub_substring,45.0,0.8338,29.055,155.591,2,0.0253,False,True
uniform,45.0,0.8337,27.51,54.894,1,0.0115,False,True
whole_substring,60.0,0.2476,7.781,36.795,3,0.0599,False,True
whole_substring,25.0,0.8774,32.457,93.252,3,0.0686,False,True
whole_substring,60.0,0.5565,20.378,64.9,3,0.0165,False,True
sub_substring,25.0,0.5647,20.814,99.538,3,0.0307,False,True
uniform,60.0,0.8269,31.106,140.898,1,0.008,False,False
whole_substring,60.0,0.5523,21.761,113.59,3,0.0124,False,True
sub_substring,45.0,0.5714,14.122,71.287,3,0.0428,False,True
sub_substring,45.0,0.2467,8.179,62.044,3,0.0599,False,True
sub_substring,45.0,0.5424,29.777,184.268,3,0.0032,False,False
sub_substring,25.0,0.8885,40.042,125.49,2,0.0827,False,True
whole_substring,25.0,0.8625,31.679,135.3,2,0.0511,False,True
sub_substring,25.0,0.8896,39.576,140.949,2,0.0829,False,True
uniform,60.0,0.819,24.477,51.074,1,0.0037,False,False
uniform,25.0,0.8545,46.904,36.338,1,0.028,False,True
whole_substring,60.0,0.8731,28.883,93.185,3,0.0633,False,True
whole_substring,45.0,0.5601,21.879,135.214,2,0.0206,False,True
sub_substring,45.0,0.2526,9.592,30.275,3,0.0286,False,True
whole_substring,60.0,0.8386,26.157,89.448,2,0.023,False,True
whole_substring,25.0,0.8529,32.128,187.522,2,0.0412,False,True
