geometry,temp_C,coeff_Vmp_Voc,gmpp_V,gmpp_P_W,n_peaks,power_lost_frac,region_error,region_error_costly
uniform,60.0,0.8241,28.909,28.147,1,0.0055,False,False
sub_substring,60.0,0.5097,19.836,140.342,2,0.0168,False,True
whole_substring,45.0,0.5352,17.55,89.803,2,0.0001,False,False
whole_substring,45.0,0.5437,17.341,42.157,2,0.0028,False,False
whole_substring,60.0,0.5668,26.523,81.881,3,0.0284,False,True
sub_substring,25.0,0.5645,20.499,99.624,3,0.0305,False,True
sub_substring,45.0,0.8469,35.537,181.075,1,0.0321,False,True
whole_substring,45.0,0.8959,57.978,128.714,3,0.0878,False,True
uniform,25.0,0.8219,37.858,244.229,1,0.0061,False,False
sub_substring,60.0,0.5533,19.662,106.184,3,0.0148,False,True
sub_substring,25.0,0.567,18.116,55.713,3,0.0472,False,True
uniform,45.0,0.8224,27.804,144.264,1,0.0056,False,False
sub_substring,25.0,0.5477,18.97,56.587,2,0.0064,False,False
whole_substring,25.0,0.8417,38.369,219.142,2,0.0317,False,True
sub_substring,45.0,0.5764,24.666,103.722,3,0.0608,False,True
whole_substring,25.0,0.8955,50.694,92.424,3,0.0889,False,True
sub_substring,45.0,0.2432,7.793,48.412,3,0.09,False,True
whole_substring,60.0,0.8545,31.234,67.362,3,0.0373,False,True
whole_substring,45.0,0.8246,34.536,240.063,1,0.0076,False,False
whole_substring,45.0,0.5515,18.611,91.762,3,0.0109,False,True
whole_substring,25.0,0.2597,9.214,42.352,3,0.0072,False,False
whole_substring,45.0,0.557,17.766,79.204,2,0.0156,False,True
whole_substring,25.0,0.8967,31.062,66.144,3,0.0897,False,True
sub_substring,25.0,0.2552,9.262,50.482,3,0.0216,False,True
sub_substring,60.0,0.8647,30.638,68.465,3,0.0404,True,True
sub_substring,60.0,0.5529,17.281,70.151,3,0.0163,False,True
sub_substring,45.0,0.5706,24.996,106.835,3,0.036,False,True
whole_substring,60.0,0.8449,27.731,138.586,3,0.0304,False,True
sub_substring,60.0,0.8941,27.992,47.649,2,0.0933,False,True
uniform,45.0,0.82,31.67,123.809,1,0.004,False,False
whole_substring,45.0,0.2573,10.302,46.322,3,0.0119,False,True
sub_substring,25.0,0.5563,11.53,35.872,3,0.0189,False,True
sub_substring,45.0,0.5347,18.54,143.623,2,0.0001,False,False
whole_substring,60.0,0.8058,31.236,179.812,2,0.0006,False,False
whole_substring,60.0,0.822,26.302,150.792,2,0.0091,False,False
sub_substring,45.0,0.8754,29.783,110.353,2,0.0663,False,True
whole_substring,60.0,0.2484,7.675,46.152,2,0.0491,False,True
uniform,60.0,0.7477,29.423,232.263,1,0.0336,False,True
sub_substring,45.0,0.8651,30.712,152.191,3,0.062,False,True
whole_substring,25.0,0.5511,24.4,145.084,2,0.0105,False,True
sub_substring,45.0,0.5257,18.022,126.764,2,0.0023,False,False
uniform,25.0,0.8515,30.462,66.996,1,0.0264,False,True
sub_substring,25.0,0.9167,35.526,78.294,2,0.0806,True,True
whole_substring,25.0,0.5528,19.905,94.1,3,0.0138,False,True
uniform,45.0,0.7805,27.192,211.483,1,0.005,False,False
sub_substring,60.0,0.8646,26.264,73.611,3,0.0351,True,True
uniform,25.0,0.8333,30.692,123.816,1,0.012,False,True
sub_substring,45.0,0.8909,29.976,71.624,3,0.0832,False,True
whole_substring,60.0,0.5612,17.078,46.96,3,0.0229,False,True
whole_substring,25.0,0.5584,20.6,153.773,2,0.0206,False,True
whole_substring,25.0,0.8402,12.561,66.829,1,0.0218,False,True
whole_substring,45.0,0.8224,28.215,134.135,2,0.0088,False,False
sub_substring,60.0,0.5023,12.56,84.972,2,0.0374,False,True
sub_substring,60.0,0.8637,34.709,143.288,3,0.0508,False,True
whole_substring,60.0,0.8047,24.666,136.091,1,0.0003,False,False
whole_substring,60.0,0.5402,21.038,100.953,3,0.0017,False,False
whole_substring,60.0,0.543,20.413,118.32,2,0.003,False,False
sub_substring,45.0,0.5609,22.082,51.835,3,0.0225,False,True
uniform,60.0,0.8166,36.519,207.544,1,0.0031,False,False
sub_substring,25.0,0.8807,31.104,50.562,2,0.07,False,True
uniform,25.0,0.8321,33.116,110.983,1,0.0115,False,True
whole_substring,25.0,0.8417,31.177,167.862,1,0.0275,False,True
sub_substring,60.0,0.5225,15.853,86.304,2,0.0042,False,False
whole_substring,25.0,0.5325,23.31,150.273,2,0.0,False,False
whole_substring,45.0,0.2517,8.199,66.023,2,0.029,False,True
whole_substring,45.0,0.8699,28.305,62.027,3,0.0562,False,True
uniform,60.0,0.7746,14.989,75.822,1,0.0077,False,False
whole_substring,45.0,0.8194,26.942,136.07,1,0.0063,False,False
whole_substring,60.0,0.844,29.999,63.715,3,0.0253,False,True
whole_substring,45.0,0.871,35.419,195.615,2,0.0546,False,True
whole_substring,25.0,0.5703,11.642,16.124,3,0.0374,False,True
whole_substring,25.0,0.9004,33.652,51.196,3,0.0721,True,True
whole_substring,60.0,0.2332,7.255,54.067,2,0.1188,True,True
sub_substring,60.0,0.8623,29.959,129.896,2,0.0517,False,True
whole_substring,60.0,0.8141,31.565,141.636,1,0.0026,False,False
whole_substring,60.0,0.8527,29.271,59.079,2,0.0348,False,True
sub_substring,25.0,0.8987,32.512,82.067,2,0.0993,False,True
whole_substring,25.0,0.9031,39.005,82.884,3,0.0257,True,True
uniform,45.0,0.8145,26.649,103.263,1,0.0024,False,False
sub_substring,45.0,0.5366,18.352,118.865,3,0.0004,False,False
sub_substring,45.0,0.8636,32.094,113.594,2,0.0414,False,True
uniform,60.0,0.8216,27.778,24.594,1,0.0045,False,False
sub_substring,45.0,0.52,18.254,118.747,2,0.0068,False,False
whole_substring,25.0,0.8728,28.809,114.529,2,0.061,False,True
whole_substring,25.0,0.8856,27.714,40.739,3,0.0743,False,True
whole_substring,25.0,0.8683,37.123,119.664,2,0.0566,False,True
whole_substring,60.0,0.8508,29.353,135.833,2,0.0392,False,True
uniform,45.0,0.8242,28.011,99.175,1,0.0063,False,False
whole_substring,45.0,0.5692,23.52,103.498,3,0.0368,False,True
sub_substring,25.0,0.9302,34.691,75.819,3,0.1145,True,True
sub_substring,60.0,0.9101,27.862,35.489,2,0.1017,False,True
sub_substring,45.0,0.2447,7.483,46.704,3,0.0711,False,True
whole_substring,45.0,0.8558,27.67,78.302,2,0.0438,False,True
whole_substring,25.0,0.8586,37.988,197.641,2,0.0501,False,True
whole_substring,25.0,0.8841,31.955,95.875,3,0.0783,False,True
sub_substring,45.0,0.8793,28.52,51.822,2,0.0674,False,True
whole_substring,60.0,0.8458,25.745,77.448,2,0.0267,False,True
sub_substring,60.0,0.5239,18.035,133.177,2,0.003,False,False
whole_substring,45.0,0.5764,18.528,53.037,3,0.0471,False,True
uniform,60.0,0.8413,33.062,46.318,1,0.0166,False,True
sub_substring,60.0,0.2473,7.596,54.756,3,0.0549,False,True
sub_substring,45.0,0.5498,16.736,61.632,3,0.0102,False,True
whole_substring,25.0,0.8799,31.267,78.762,3,0.068,False,True
whole_substring,60.0,0.8023,30.637,145.628,1,0.0001,False,False
whole_substring,60.0,0.5464,16.7,69.473,3,0.0057,False,False
sub_substring,45.0,0.2477,8.341,44.473,3,0.0596,False,True
whole_substring,25.0,0.2685,11.893,79.113,3,0.0004,False,False
whole_substring,45.0,0.536,22.146,153.915,2,0.0003,False,False
sub_substring,45.0,0.8927,31.838,90.567,3,0.085,False,True
uniform,45.0,0.8493,28.886,40.017,1,0.0238,False,True
sub_substring,25.0,0.5681,20.944,101.867,3,0.035,False,True
whole_substring,25.0,0.5736,25.101,77.421,3,0.046,False,True
whole_substring,60.0,0.8279,25.952,117.001,2,0.0123,False,True
uniform,25.0,0.8373,30.316,195.477,1,0.0145,False,True
whole_substring,60.0,0.8831,32.325,43.458,3,0.0711,False,True
whole_substring,45.0,0.8729,17.011,52.377,2,0.0593,False,True
sub_substring,60.0,0.5483,17.634,78.007,3,0.0075,False,False
sub_substring,45.0,0.57,18.992,75.727,2,0.0377,False,True
sub_substring,45.0,0.818,29.061,214.704,1,0.0084,False,False
sub_substring,60.0,0.2551,10.425,84.439,3,0.019,False,True
sub_substring,25.0,0.58,25.828,124.709,3,0.0583,False,True
sub_substring,45.0,0.532,19.065,138.935,2,0.0001,False,False
whole_substring,60.0,0.8564,18.356,57.368,3,0.0432,False,True
uniform,60.0,0.7707,21.177,121.839,1,0.0102,False,True
whole_substring,25.0,0.5538,16.034,81.216,3,0.0156,False,True
whole_substring,25.0,0.8848,51.01,150.362,3,0.0777,False,True
whole_substring,60.0,0.5702,18.987,68.063,3,0.0363,False,True
sub_substring,60.0,0.9038,37.531,160.591,3,0.0957,False,True
uniform,60.0,0.8217,28.071,31.187,1,0.0044,False,False
sub_substring,45.0,0.8841,28.093,51.8,3,0.0639,True,True
whole_substring,60.0,0.8298,33.325,177.051,2,0.0127,False,True
sub_substring,25.0,0.8881,42.067,120.233,2,0.0813,False,True
whole_substring,25.0,0.8892,38.611,63.302,3,0.0801,False,True
whole_substring,45.0,0.8627,25.657,86.168,3,0.0514,False,True
whole_substring,25.0,0.8343,30.223,150.697,2,0.0175,False,True
uniform,60.0,0.8192,32.029,127.401,1,0.004,False,False
sub_substring,25.0,0.8771,31.095,81.839,2,0.0471,False,True
sub_substring,45.0,0.5353,21.097,80.686,2,0.0001,False,False
whole_substring,25.0,0.5669,26.714,171.485,3,0.0367,False,True
sub_substring,25.0,0.2472,8.884,71.692,2,0.0607,False,True
uniform,25.0,0.8252,30.921,243.929,1,0.0076,False,False
whole_substring,25.0,0.2516,9.009,56.596,3,0.0346,False,True
sub_substring,25.0,0.5754,19.847,88.632,3,0.045,False,True
whole_substring,45.0,0.7947,26.418,179.304,1,0.0004,False,False
sub_substring,25.0,0.5653,19.802,58.157,3,0.0324,False,True
whole_substring,45.0,0.5673,22.986,96.205,3,0.034,False,True
sub_substring,45.0,0.5522,21.574,135.763,3,0.0109,False,True
whole_substring,25.0,0.8768,32.467,158.946,3,0.0679,False,True
uniform,25.0,0.7862,28.084,187.486,1,0.0027,False,False
sub_substring,60.0,0.5545,20.414,91.184,3,0.0132,False,True
sub_substring,45.0,0.8763,34.068,113.329,3,0.0625,False,True
sub_substring,25.0,0.5758,20.068,65.977,3,0.0429,False,True
whole_substring,60.0,0.8419,28.517,164.936,2,0.029,False,True
whole_substring,60.0,0.8299,25.988,96.823,1,0.0115,False,True
whole_substring,25.0,0.8443,36.692,219.03,1,0.0249,False,True
whole_substring,25.0,0.5526,21.073,135.409,2,0.0126,False,True
sub_substring,25.0,0.588,27.045,61.469,3,0.0695,False,True
sub_substring,25.0,0.5503,24.16,133.702,2,0.0075,False,False
whole_substring,60.0,0.8089,31.752,232.291,2,0.0014,False,False
sub_substring,25.0,0.5556,20.344,119.207,3,0.0265,False,True
uniform,45.0,0.84,34.062,81.521,1,0.0166,False,True
whole_substring,60.0,0.5562,18.421,85.837,3,0.0171,False,True
sub_substring,45.0,0.8859,36.814,133.358,3,0.0779,False,True
uniform,60.0,0.8177,24.171,75.646,1,0.0031,False,False
sub_substring,25.0,0.261,9.74,40.748,3,0.0048,False,False
sub_substring,45.0,0.8412,29.647,196.006,2,0.0382,False,True
whole_substring,60.0,0.8682,27.19,51.251,3,0.0556,False,True
sub_substring,25.0,0.8832,32.355,92.782,2,0.0736,False,True
whole_substring,60.0,0.5779,28.97,95.122,3,0.0483,False,True
whole_substring,25.0,0.5615,19.796,104.726,3,0.0259,False,True
sub_substring,45.0,0.9265,37.595,60.642,3,0.1153,False,True
sub_substring,25.0,0.5509,20.426,115.456,2,0.0113,False,True
sub_substring,45.0,0.5299,22.002,155.793,2,0.0004,False,False
whole_substring,60.0,0.5299,15.568,67.945,2,0.0003,False,False
uniform,25.0,0.8244,35.732,109.11,1,0.0073,False,False
whole_substring,25.0,0.8897,25.245,40.183,3,0.0826,False,True
sub_substring,60.0,0.5524,23.3,167.056,2,0.0114,False,True
whole_substring,25.0,0.5281,19.294,135.988,2,0.001,False,False
whole_substring,60.0,0.5283,15.748,96.897,2,0.0008,False,False
sub_substring,25.0,0.8216,36.268,209.379,1,0.0094,False,False
whole_substring,25.0,0.839,36.909,223.745,2,0.0281,False,True
whole_substring,60.0,0.5163,16.057,112.465,2,0.0098,False,False
uniform,45.0,0.7947,29.919,200.888,1,0.0004,False,False
whole_substring,45.0,0.8727,29.079,87.123,3,0.0636,False,True
whole_substring,25.0,0.8653,29.85,157.886,1,0.0464,False,True
uniform,60.0,0.8256,26.595,67.04,1,0.0067,False,False
sub_substring,25.0,0.2533,11.71,99.802,3,0.0296,False,True
whole_substring,45.0,0.8807,31.736,96.434,2,0.0733,False,True
whole_substring,60.0,0.5529,20.051,45.9,2,0.011,False,True
whole_substring,60.0,0.8531,34.369,137.825,2,0.0373,False,True
whole_substring,25.0,0.5644,21.672,120.027,3,0.0313,False,True
sub_substring,60.0,0.8555,27.263,103.106,3,0.0403,False,True
sub_substring,60.0,0.2463,8.735,46.24,3,0.0573,False,True
whole_substring,60.0,0.8284,31.49,168.032,2,0.0137,False,True
sub_substring,25.0,0.8837,38.33,135.696,2,0.0794,True,True
whole_substring,25.0,0.8563,30.856,101.836,2,0.045,False,True
whole_substring,45.0,0.8613,24.889,90.529,3,0.0468,False,True
whole_substring,45.0,0.8807,35.039,59.317,3,0.0684,False,True
sub_substring,25.0,0.9019,31.64,63.606,3,0.0871,False,True
sub_substring,45.0,0.5595,22.965,82.947,3,0.0218,False,True
whole_substring,60.0,0.8539,30.416,63.202,3,0.0358,False,True
sub_substring,25.0,0.5757,23.388,126.24,3,0.0415,False,True
sub_substring,45.0,0.8602,33.551,66.394,3,0.0441,False,True
uniform,45.0,0.8166,28.741,189.714,1,0.0031,False,False
sub_substring,60.0,0.5864,14.445,33.289,3,0.0692,False,True
whole_substring,45.0,0.812,34.775,249.836,1,0.0027,False,False
sub_substring,45.0,0.246,8.851,68.184,3,0.0721,False,True
whole_substring,25.0,0.2595,10.968,78.802,3,0.007,False,False
whole_substring,45.0,0.5633,21.566,52.212,2,0.0242,False,True
whole_substring,25.0,0.8761,32.015,137.408,2,0.0556,False,True
uniform,25.0,0.8221,31.241,203.723,1,0.006,False,False
whole_substring,60.0,0.5203,17.208,129.204,2,0.0048,False,False
whole_substring,25.0,0.2584,9.35,71.763,2,0.0094,False,False
whole_substring,60.0,0.5455,17.623,79.545,3,0.0054,False,False
whole_substring,45.0,0.5387,21.35,121.604,2,0.0009,False,False
whole_substring,25.0,0.5668,21.707,124.146,3,0.0361,False,True
sub_substring,45.0,0.5448,22.072,105.385,3,0.0051,False,False
sub_substring,60.0,0.5587,17.025,74.531,3,0.0191,False,True
whole_substring,45.0,0.8259,28.107,138.423,2,0.0114,False,True
whole_substring,45.0,0.8695,33.713,59.872,2,0.056,False,True
uniform,60.0,0.7686,29.097,209.694,1,0.0118,False,True
whole_substring,25.0,0.5745,20.651,74.844,3,0.0464,False,True
sub_substring,45.0,0.9043,36.95,68.713,3,0.0975,False,True
sub_substring,25.0,0.8881,40.203,113.222,3,0.0819,False,True
sub_substring,60.0,0.8471,32.298,136.272,2,0.0358,False,True
whole_substring,25.0,0.8688,30.652,81.024,2,0.0561,False,True
whole_substring,45.0,0.8721,35.445,116.202,2,0.0603,False,True
sub_substring,60.0,0.8962,34.771,107.763,2,0.0981,False,True
uniform,60.0,0.813,23.33,40.468,1,0.0017,False,False
whole_substring,25.0,0.8705,31.568,157.316,2,0.0611,False,True
whole_substring,60.0,0.543,18.101,109.232,3,0.0035,False,False
whole_substring,45.0,0.2514,10.096,75.851,3,0.0303,False,True
sub_substring,25.0,0.8745,27.145,46.388,2,0.0642,False,True
sub_substring,45.0,0.5704,19.702,73.638,3,0.0393,False,True
uniform,45.0,0.7865,26.96,177.648,1,0.0024,False,False
whole_substring,45.0,0.5715,23.194,62.37,3,0.0392,False,True
whole_substring,60.0,0.5339,16.639,79.784,2,0.0,False,False
whole_substring,25.0,0.887,38.249,94.538,3,0.0804,False,True
uniform,45.0,0.7831,34.478,293.797,1,0.0039,False,False
sub_substring,25.0,0.586,21.336,54.439,3,0.0314,True,True
whole_substring,45.0,0.7761,23.274,166.39,1,0.0088,False,False
whole_substring,25.0,0.5684,20.833,113.46,3,0.0373,False,True
whole_substring,25.0,0.5419,19.526,142.137,2,0.002,False,False
whole_substring,60.0,0.5312,18.766,98.092,2,0.0001,False,False
whole_substring,45.0,0.8504,28.88,125.255,2,0.0377,False,True
whole_substring,25.0,0.2641,10.945,27.326,3,0.0008,False,False
sub_substring,25.0,0.8877,38.606,100.114,3,0.0806,False,True
sub_substring,45.0,0.8779,36.249,158.983,3,0.0805,False,True
sub_substring,25.0,0.8757,32.135,115.755,2,0.0701,False,True
uniform,45.0,0.8148,28.523,178.161,1,0.0025,False,False
uniform,60.0,0.7914,19.685,101.84,1,0.0008,False,False
sub_substring,25.0,0.8738,51.409,153.402,1,0.0628,False,True
whole_substring,45.0,0.2517,8.924,72.408,3,0.0336,False,True
uniform,45.0,0.8424,27.366,33.687,1,0.0172,False,True
sub_substring,60.0,0.5813,28.445,67.746,3,0.0508,False,True
whole_substring,60.0,0.8133,32.745,185.853,1,0.002,False,False
whole_substring,45.0,0.8338,34.756,212.196,2,0.0211,False,True
sub_substring,25.0,0.9272,26.745,44.16,3,0.1218,False,True
whole_substring,25.0,0.8787,18.123,64.805,2,0.0539,False,True
uniform,60.0,0.8281,27.868,87.057,1,0.0082,False,False
whole_substring,25.0,0.8925,31.677,53.913,3,0.0857,False,True
whole_substring,45.0,0.8903,29.724,69.208,3,0.025,True,True
sub_substring,45.0,0.8699,33.801,71.804,3,0.052,False,True
uniform,60.0,0.7995,25.074,171.724,1,0.0,False,False
whole_substring,45.0,0.5708,18.455,42.952,3,0.0372,False,True
uniform,45.0,0.8263,34.684,219.771,1,0.0069,False,False
whole_substring,25.0,0.8776,32.263,91.092,2,0.067,False,True
sub_substring,60.0,0.8531,26.279,76.031,3,0.0393,False,True
whole_substring,60.0,0.5325,15.999,60.37,2,0.0,False,False
whole_substring,25.0,0.5728,25.14,76.841,3,0.0449,False,True
sub_substring,45.0,0.8472,34.582,172.241,2,0.046,False,True
sub_substring,45.0,0.543,21.982,63.939,3,0.0033,False,False
whole_substring,60.0,0.2408,8.177,65.417,3,0.0844,True,True
whole_substring,60.0,0.4993,14.959,90.278,2,0.0411,False,True
sub_substring,60.0,0.5652,17.828,34.325,3,0.0285,False,True
uniform,25.0,0.8442,35.517,65.959,1,0.0199,False,True
whole_substring,25.0,0.8863,32.191,114.448,2,0.0512,True,True
whole_substring,45.0,0.5353,21.651,159.998,2,0.0001,False,False
whole_substring,45.0,0.5488,23.352,120.79,2,0.0067,False,False
sub_substring,25.0,0.5691,25.385,112.14,3,0.0397,False,True
sub_substring,60.0,0.2323,7.088,44.231,3,0.1708,False,True
whole_substring,60.0,0.5386,20.447,96.519,2,0.0009,False,False
whole_substring,25.0,0.5532,20.985,134.261,3,0.0149,False,True
sub_substring,45.0,0.5344,18.429,132.114,2,0.0,False,False
whole_substring,25.0,0.5148,23.265,177.841,2,0.0147,False,True
whole_substring,25.0,0.8458,32.838,217.537,2,0.0321,False,True
sub_substring,60.0,0.5236,15.896,84.56,3,0.0037,False,False
uniform,45.0,0.8342,26.243,36.871,1,0.0111,False,True
whole_substring,25.0,0.8917,41.992,169.577,3,0.0783,True,True
sub_substring,45.0,0.5419,22.543,146.002,2,0.004,False,False
sub_substring,45.0,0.524,21.666,139.385,3,0.0037,False,False
sub_substring,45.0,0.5247,21.207,88.497,2,0.0028,False,False
whole_substring,25.0,0.251,9.048,73.326,2,0.0386,False,True
sub_substring,60.0,0.5222,19.225,130.71,2,0.0032,False,False
whole_substring,25.0,0.5536,24.668,128.386,3,0.0149,False,True
whole_substring,45.0,0.5155,15.178,108.147,2,0.009,False,False
whole_substring,45.0,0.8172,28.581,195.993,1,0.0054,False,False
sub_substring,25.0,0.554,20.081,90.782,3,0.0166,False,True
whole_substring,45.0,0.8758,30.426,125.008,2,0.0664,False,True
sub_substring,45.0,0.5492,19.32,100.079,3,0.0096,False,False
sub_substring,25.0,0.5417,24.616,171.091,2,0.0026,False,False
sub_substring,60.0,0.8656,27.425,77.797,3,0.0533,False,True
whole_substring,60.0,0.8808,27.312,59.559,3,0.0668,False,True
whole_substring,25.0,0.8414,31.696,231.66,2,0.0286,False,True
sub_substring,25.0,0.9148,37.96,66.337,3,0.1028,False,True
whole_substring,45.0,0.8747,35.756,69.861,3,0.06,True,True
whole_substring,25.0,0.8535,31.254,161.471,2,0.0429,False,True
sub_substring,45.0,0.9374,19.921,9.725,3,0.0315,True,True
sub_substring,45.0,0.2548,10.442,86.714,3,0.0196,False,True
whole_substring,45.0,0.5343,17.365,98.303,2,0.0,False,False
whole_substring,25.0,0.8259,32.004,214.251,2,0.0122,False,True
sub_substring,25.0,0.5943,25.291,81.448,3,0.0776,False,True
uniform,25.0,0.8402,34.578,81.514,1,0.0152,False,True
sub_substring,45.0,0.5631,23.287,101.199,3,0.0273,False,True
uniform,25.0,0.8541,29.339,32.756,1,0.0286,False,True
uniform,60.0,0.8227,30.454,96.958,1,0.005,False,False
uniform,25.0,0.7992,29.586,210.326,1,0.0,False,False
whole_substring,60.0,0.246,7.909,58.983,2,0.0611,False,True
whole_substring,25.0,0.9061,33.118,64.469,3,0.0986,False,True
whole_substring,60.0,0.8673,26.722,72.667,3,0.0104,True,True
whole_substring,60.0,0.7654,28.632,123.036,1,0.0171,False,True
sub_substring,60.0,0.49,14.555,97.836,2,0.0536,False,True
sub_substring,60.0,0.8325,31.235,102.122,2,0.0158,False,True
sub_substring,60.0,0.5287,14.628,65.114,2,0.0007,False,False
sub_substring,60.0,0.5768,20.774,30.911,3,0.0462,False,True
uniform,60.0,0.8224,25.707,84.023,1,0.0051,False,False
whole_substring,45.0,0.8109,27.167,144.732,1,0.0019,False,False
sub_substring,60.0,0.8523,21.35,67.983,3,0.0383,False,True
whole_substring,45.0,0.5542,21.849,156.457,2,0.014,False,True
sub_substring,45.0,0.8932,35.881,64.18,3,0.0863,False,True
uniform,60.0,0.7802,30.801,236.79,1,0.0047,False,False
whole_substring,45.0,0.5634,18.772,69.803,3,0.0286,False,True
whole_substring,25.0,0.8759,31.661,81.119,3,0.0675,False,True
uniform,60.0,0.8069,32.419,217.408,1,0.0005,False,False
sub_substring,25.0,0.8466,37.033,167.608,1,0.0303,False,True
uniform,45.0,0.8227,27.292,113.711,1,0.0056,False,False
whole_substring,25.0,0.5679,25.336,153.273,3,0.0358,False,True
whole_substring,60.0,0.8629,20.352,38.107,3,0.0443,False,True
whole_substring,45.0,0.2624,10.046,45.191,3,0.0022,False,False
whole_substring,45.0,0.8713,16.927,26.195,2,0.0545,False,True
whole_substring,60.0,0.8392,26.563,125.774,2,0.0232,False,True
whole_substring,60.0,0.5594,21.582,92.799,3,0.0201,False,True
sub_substring,45.0,0.5476,18.434,82.983,3,0.0073,False,False
sub_substring,25.0,0.8887,39.215,100.311,3,0.0794,False,True
sub_substring,25.0,0.58,20.835,85.897,3,0.0564,False,True
whole_substring,25.0,0.5727,26.816,140.12,3,0.046,False,True
whole_substring,25.0,0.8649,32.687,168.513,2,0.0583,False,True
whole_substring,60.0,0.5687,20.434,66.457,3,0.0332,False,True
sub_substring,25.0,0.5824,21.353,75.4,3,0.0616,False,True
whole_substring,45.0,0.2495,9.67,42.958,3,0.039,False,True
whole_substring,25.0,0.854,36.191,92.393,3,0.0417,False,True
whole_substring,60.0,0.4861,14.149,88.158,2,0.058,False,True
sub_substring,25.0,0.9022,34.17,44.901,2,0.0509,True,True
whole_substring,45.0,0.5448,18.441,76.876,2,0.0046,False,False
whole_substring,25.0,0.5688,24.317,141.53,3,0.0329,False,True
whole_substring,25.0,0.8997,38.11,58.676,3,0.0531,True,True
sub_substring,60.0,0.8437,26.534,97.024,2,0.0278,False,True
whole_substring,45.0,0.2517,8.125,44.108,2,0.0324,False,True
sub_substring,25.0,0.2533,9.091,53.633,3,0.0286,False,True
uniform,25.0,0.8553,30.839,61.71,1,0.0302,False,True
uniform,45.0,0.8236,26.13,154.803,1,0.0058,False,False
sub_substring,25.0,0.2626,10.892,66.317,3,0.0022,False,False
whole_substring,60.0,0.2383,6.895,31.607,3,0.1045,False,True
whole_substring,60.0,0.5303,25.442,75.864,2,0.0003,False,False
whole_substring,45.0,0.8669,28.549,42.18,2,0.0523,False,True
whole_substring,60.0,0.839,19.725,62.499,3,0.0258,False,True
uniform,45.0,0.8205,32.647,85.71,1,0.0046,False,False
sub_substring,45.0,0.2455,7.347,27.657,2,0.0687,False,True
sub_substring,60.0,0.5563,22.379,50.328,3,0.0148,False,True
whole_substring,45.0,0.8554,33.949,125.833,1,0.0389,False,True
whole_substring,25.0,0.567,24.239,110.446,3,0.0308,False,True
sub_substring,25.0,0.2588,8.846,25.903,3,0.009,False,False
whole_substring,60.0,0.523,19.857,132.659,2,0.0035,False,False
sub_substring,60.0,0.2431,9.178,42.589,2,0.0824,False,True
uniform,45.0,0.8381,28.147,64.615,1,0.0147,False,True
sub_substring,25.0,0.5528,19.575,90.913,3,0.0166,False,True
sub_substring,45.0,0.5704,23.79,108.096,3,0.0544,False,True
sub_substring,60.0,0.569,20.503,93.02,3,0.037,False,True
sub_substring,45.0,0.244,7.077,40.284,3,0.0805,False,True
whole_substring,45.0,0.8531,31.409,141.71,2,0.0397,False,True
whole_substring,45.0,0.8792,34.286,77.393,3,0.0236,True,True
sub_substring,25.0,0.5526,25.163,146.793,2,0.0101,False,True
sub_substring,45.0,0.5683,23.116,95.03,3,0.0355,False,True
sub_substring,45.0,0.5527,18.29,73.71,3,0.0136,False,True
whole_substring,45.0,0.547,29.349,178.069,3,0.0069,False,False
sub_substring,60.0,0.8325,31.39,73.382,1,0.0127,False,True
sub_substring,45.0,0.5499,19.109,72.203,2,0.0071,False,False
whole_substring,45.0,0.5461,21.148,86.317,2,0.0052,False,False
whole_substring,45.0,0.8539,28.798,128.066,2,0.042,False,True
uniform,25.0,0.8283,30.768,169.158,1,0.0093,False,False
sub_substring,25.0,0.8537,31.008,112.445,1,0.0412,False,True
sub_substring,45.0,0.9055,31.336,122.207,3,0.1071,False,True
sub_substring,25.0,0.8614,38.072,126.468,2,0.0426,False,True
sub_substring,60.0,0.2552,9.161,38.467,3,0.0156,False,True
whole_substring,45.0,0.8153,33.217,203.363,1,0.004,False,False
sub_substring,25.0,0.5675,25.489,117.761,3,0.036,False,True
whole_substring,25.0,0.5514,19.482,99.829,2,0.0108,False,True
sub_substring,60.0,0.5543,21.232,71.915,3,0.0151,False,True
whole_substring,45.0,0.5707,23.301,91.906,3,0.0406,False,True
sub_substring,45.0,0.8793,28.703,59.323,3,0.0671,False,True
sub_substring,60.0,0.5449,21.01,52.907,3,0.0049,False,False
whole_substring,45.0,0.8732,28.238,53.16,3,0.0639,False,True
sub_substring,45.0,0.8946,26.966,74.698,3,0.0782,False,True
whole_substring,25.0,0.5087,10.915,71.469,2,0.0255,False,True
sub_substring,60.0,0.9263,38.202,39.489,3,0.1167,False,True
sub_substring,45.0,0.5594,21.131,46.001,2,0.0215,False,True
sub_substring,60.0,0.5017,15.448,118.478,2,0.0286,False,True
sub_substring,45.0,0.52,17.318,115.779,2,0.0051,False,False
uniform,60.0,0.8135,25.302,86.536,1,0.002,False,False
sub_substring,60.0,0.562,14.135,50.111,3,0.0212,False,True
sub_substring,25.0,0.901,41.98,143.636,3,0.0954,False,True
uniform,45.0,0.834,27.939,146.472,1,0.0117,False,True
sub_substring,45.0,0.8556,31.394,191.705,2,0.0513,False,True
uniform,45.0,0.8076,33.288,179.273,1,0.0007,False,False
sub_substring,25.0,0.878,36.879,34.682,2,0.0659,False,True
whole_substring,60.0,0.832,31.357,185.057,1,0.013,False,True
