G,T,Voc_meas,Voc_pred,Pm_meas,Pm_pred,Voc_err,Pm_err
1100.0,25.0,39.89858427697376,39.89102584294378,313.34212069584447,313.5976914770692,0.00018944115855098787,0.0008156285553221143
1100.0,50.0,37.080070692476546,35.46702316179148,280.7360633034514,269.2947023346656,0.04350173828045988,0.04075486716652663
1100.0,75.0,34.26155710797932,31.010356211855402,247.63667350124783,224.82558912384454,0.09489355331625406,0.09211513002046665
1000.0,15.0,40.84660107076399,41.48038463949277,297.08223986040844,301.74594921176333,0.015516188669671518,0.015698378178198257
1000.0,25.0,39.714731230689345,39.714709272259924,285.68591743441357,285.6859322186962,5.529038908480183e-07,5.175012750985365e-08
1000.0,50.0,36.88505663050273,35.27594423193927,256.7499936713702,245.2658342080693,0.04362504888315063,0.04472895714264424
1000.0,75.0,34.050491614956464,30.804524583531705,227.79075927124012,204.6838582590525,0.09532805188630486,0.1014391500608383
800.0,15.0,40.43138636329412,41.08147380338664,238.28457968291585,242.02661281595874,0.016078781821904222,0.01570405075318932
800.0,25.0,39.28642546938171,39.301924119664264,229.43867110138424,229.0774373574888,0.00039450395645262504,0.0015744239720418274
800.0,50.0,36.42402323460069,34.828602733730015,207.0189938202837,196.4791834956704,0.04380132558654634,0.05091228650141664
800.0,75.0,33.56162099981967,30.322529402534713,184.20678859617576,163.73386066040032,0.09651177448497969,0.11114100675549403
600.0,15.0,39.8999377655893,40.56721457297204,178.51616817813078,181.37788006500097,0.016723755593378832,0.016030547350840783
600.0,25.0,38.73880197610558,38.76981882476107,172.11691054353793,171.56860789015695,0.0008006661815360603,0.003185640804552298
600.0,50.0,35.835962502396264,34.251842299442174,155.8914335563157,146.87325918181506,0.04420476226495,0.057849069501582466
600.0,75.0,32.93312302868694,29.701165476237296,139.36860812086786,122.05794811562046,0.09813698960874122,0.12420774117392831
400.0,15.0,39.160498626702534,39.84232740257885,118.13645289968251,120.07309922366865,0.01741113621600818,0.01639330009028351
400.0,25.0,37.976056628531005,38.019781567795526,114.00037408466329,113.44394252401713,0.001151381769103201,0.004880962585551887
400.0,50.0,35.01495163310221,33.43892406644832,103.51165323269167,96.75263911795248,0.04501013119104097,0.06529713229045901
200.0,15.0,37.923732386768634,38.603188230217185,57.742984756891424,58.69591747349162,0.017916375859819353,0.01650300414175361
200.0,25.0,36.69806909145472,36.73774129028171,55.705912715503274,55.30417120552373,0.0010810432213238573,0.007211828877686395
100.0,15.0,36.723191509819955,37.36406534820576,28.020534881750557,28.46010289149438,0.017451474450809516,0.01568735256478307
100.0,25.0,35.45456672448036,35.455469643900344,26.98851347759388,26.726430989617818,2.546694272142938e-05,0.009710890086393456
