mod_id,Voc,Isc,T,mean_err,max_err,aged
3855,40.34,10.08,24.9,0.00520921890507557,0.016376221656714634,True
3195,42.5598,8.70773,25.0,0.00688679596485526,0.024057640700178646,False
3161,37.8997,8.89423,25.0,0.007167857490615805,0.02343566151438784,False
4530,47.46,9.623,25.0,0.007233241126337607,0.0157824345169039,False
4533,47.41,9.616,25.0,0.007507431860641759,0.017115876299711685,False
3905,38.18,8.882,25.3,0.00789213092712002,0.01903247953087688,True
3675,37.97,9.159,24.6,0.008148934656378093,0.0243576047630871,True
4848,50.82,9.61,25.3,0.008311670929395705,0.02451406573644797,False
4543,47.46,9.583,25.0,0.010024116941477567,0.021393755085604354,False
3366,69.5003,6.03042,25.0,0.014446073356775276,0.059396342939672324,False
2440,48.75,6.06,25.4,0.0154734390875945,0.03853156581295036,False
